Planet Name,Discovery Year,Discovery Method,Orbital Period (days),SemiMajor Axis (AU),Mass (Jupiter Mass),Stellar_Luminosity,Right Ascension (RA),Declination (Dec),RASTR,DECSTR,GLON,GLAT,ELON,ELAT,Ri (AU),Ro (AU)
Kepler-937 b,2016,Transit,67.668827,0.3214,0.042,0.281,294.1688142,46.7146161,19h36m40.52s,+46d42m52.62s,79.46009,12.25527,314.63118,66.4485,0.505425113597005,0.7281405628347338
Kepler-933 b,2016,Transit,14.20443009,0.1041,0.0208,-0.211,289.5685257,43.5385438,19h18m16.45s,+43d32m18.76s,75.08255,13.81149,304.54547,64.64859,0.4379705261980329,0.6309621284571443
Kepler-934 b,2016,Transit,55.6738309,0.2658,0.0158,-0.478,290.2884494,43.7552623,19h21m09.23s,+43d45m18.94s,75.50887,13.42851,305.86083,64.68906,0.6592006178284836,0.9496772043451555
Kepler-947 b,2016,Transit,26.9644317,0.1773,0.0183,0.142,294.3667312,42.2526408,19h37m28.02s,+42d15m09.51s,75.4807,10.08954,311.01236,62.2661,0.35929223355217277,0.5176142659373741
Kepler-940 b,2016,Transit,59.6225257,0.3059,0.035,-0.057,294.2413053,47.2759642,19h36m57.91s,+47d16m33.47s,79.99619,12.46341,315.32998,66.93955,0.22763607319179843,0.3279438516138407
Kepler-912 b,2016,Transit,2.53475627,0.0339,0.0259,0.552,298.1111779,41.758324,19h52m26.68s,+41d45m29.97s,76.40024,7.41391,316.05664,60.78057,0.7083912632282966,1.020543695273389
Kepler-917 b,2016,Transit,2.97041437,0.0378,0.0136,0.764,299.0512562,47.9492677,19h56m12.30s,+47d56m57.36s,82.16423,9.92543,323.36754,66.09016,0.8333939371902429,1.2006287660897785
Kepler-920 c,2016,Transit,100.8274113,0.4029,0.0436,-0.183,284.2969363,49.1585983,18h57m11.26s,+49d09m30.95s,79.09161,19.29073,299.93141,71.11545,0.40787698680317375,0.5876078784937491
Kepler-96 b,2014,Transit,16.2385,0.1235,0.027,-0.052,297.0698263,40.5252039,19h48m16.76s,+40d31m30.73s,74.92809,7.48242,313.65629,59.92836,0.2174229226018436,0.31323027878410764
Kepler-967 b,2016,Transit,13.22713379,0.1027,0.0193,-0.718,286.5580128,38.4052418,19h06m13.92s,+38d24m18.87s,69.30269,13.78488,296.80304,60.31303,0.8079153871088683,1.1639230993206018
Kepler-85 d,2014,Transit,17.91323,0.13,0.00588,-0.212,290.9734395,45.2902761,19h23m53.63s,+45d17m24.99s,77.15239,13.63209,308.1992,65.97078,0.43900714427816856,0.6324555320336759
Kepler-747 b,2016,Transit,35.61760587,0.1916,0.0759,-0.432,288.4165196,41.0298175,19h13m39.96s,+41d01m47.34s,72.36887,13.55138,301.06537,62.49677,0.6266795614405122,0.9028257526359345
Kepler-835 b,2016,Transit,11.41909375,0.107,0.0258,0.33,283.5742181,45.7348003,18h54m17.81s,+45d44m05.28s,75.51099,18.58969,295.88206,67.95808,0.5477225575051661,0.7890763647670371
TOI-1338 b,2020,Transit,95.174,0.4607,0.10383,0.329,92.1330955,-59.5409853,06h08m31.94s,-59d32m27.55s,268.41173,-28.49114,98.79559,-82.91506,0.5468920451889103,0.7878798874074221
Kepler-435 b,2015,Transit,8.6001536,0.0948,0.84,1.129,292.2873012,43.1972542,19h29m08.95s,+43d11m50.12s,75.63372,11.87922,308.57502,63.68163,1.0130960647261622,1.4595165909455374
HAT-P-17 c,2010,Radial Velocity,5584.0,5.6,3.4,-0.289,324.5359781,30.4881882,21h38m08.63s,+30d29m17.48s,80.8515,-16.17689,339.89241,41.6341,0.5125692857821982,0.7384328126972178
KELT-15 b,2016,Transit,3.32944,0.04613,1.31,0.412,117.4149764,-52.1204471,07h49m39.59s,-52d07m13.61s,265.3722,-12.86035,146.63935,-70.21664,0.6120011883529758,0.8816793581376609
WASP-32 b,2010,Transit,2.71866,0.0394,2.63,0.193,3.9617073,1.2005122,00h15m50.81s,+01d12m01.84s,104.68518,-60.40423,4.10841,-0.47292,0.4188729466730281,0.6034492053157634
Kepler-1656 c,2022,Radial Velocity,1919.0,3.053,0.4,-0.004,284.4722473,39.911889,18h57m53.34s,+39d54m42.80s,70.07924,15.86374,294.21316,62.13985,0.06030226891555272,0.08687444855261388
psi1 Dra B b,2015,Radial Velocity,3117.0,4.43,1.53,0.326,265.4925754,72.1557114,17h41m58.22s,+72d09m20.56s,102.97614,31.02766,103.75268,84.18767,0.544392906239268,0.7842795035079276
WASP-148 c,2020,Radial Velocity,34.524,0.2044,0.392,-0.139,254.1305022,44.3025361,16h56m31.32s,+44d18m09.13s,69.45427,38.65518,241.04501,66.15418,0.3554766326548573,0.5121173214639358
TYC 2187-512-1 b,2022,Radial Velocity,691.9,1.22,0.33,-1.381,320.5266829,22.9319351,21h22m06.40s,+22d55m54.97s,72.54584,-18.8565,331.73827,36.18359,1.12047068031901,1.6142058039043505
Kepler-983 b,2016,Transit,60.0855082,0.3148,0.0194,0.15,285.1042243,45.0080745,19h00m25.01s,+45d00m29.07s,75.19637,17.32725,298.10576,66.97948,0.3692744729379982,0.5319951765989315
Kepler-987 b,2016,Transit,105.3033148,0.4238,0.0336,-0.145,289.4110582,46.1308443,19h17m38.65s,+46d07m51.04s,77.4782,14.97262,306.35424,67.13617,0.3630677372311974,0.5230534443633627
Kepler-989 b,2016,Transit,7.96431535,0.0734,0.0174,-0.427,281.5827983,47.2334674,18h46m19.87s,+47d14m00.48s,76.53241,20.37813,293.18804,69.74205,0.6230423887520159,0.8975858607166729
