Planet Name,Discovery Year,Orbital Period (days),SemiMajor Axis (AU),Spectral_Type,Mass (Earth Mass),Temperature,Stellar_Luminosity,Right Ascension (RA),Declination (Dec),radius,density,Ri (AU),Ro (AU),Habitable Zone
Kepler-235 d,2014,20,0,M0 V,4,3981,0,286,39,2,3,0.26810422464540046,0.38624428383138537,No
Kepler-1654 b,2018,1047,2,G5 V,158,5323,1,282,44,9,1,1.0575566912860903,1.5235687814212637,No
TOI-2202 b,2021,11,0,K8 V,310,4870,0,51,-73,11,1,0.6009020109721719,0.865689331034447,No
Kepler-1661 b,2020,175,0,K,17,4826,0,285,41,3,1,0.5282063980534982,0.7609604145595442,Yes
GJ 887 c,2020,21,0,M1 V,7,3414,0,346,-35,2,2,0.1829378865384074,0.2635494202491919,No
Kepler-287 c,2014,44,0,K7 V,10,5532,0,290,48,3,1,0.8171535229948114,1.1772320174621282,No
Kepler-225 b,2014,6,0,M1 V,1,3408,0,292,47,1,5,0.3029030577108915,0.43637721393841983,No
Kepler-252 c,2014,10,0,M0 V,5,3934,0,295,44,2,2,0.385747977244188,0.5557277264360446,No
Kepler-444 b,2015,3,0,K,0,4772,0,289,41,0,3,0.5845257629351757,0.8420968934170965,No
Kepler-444 c,2015,4,0,K,0,4772,0,289,41,0,3,0.5845257629351757,0.8420968934170965,No
Kepler-54 c,2012,12,0,M1 V,19,3431,0,294,43,1,58,0.21320807911030748,0.30715816556767883,No
TOI-561 b,2020,0,0,G9 V,2,5098,0,148,6,1,3,0.696311643582632,1.0031411942677964,No
HD 28109 c,2022,56,0,F8/G0 V,7,5846,2,65,-68,4,0,1.611772187651318,2.3219991969246605,No
HATS-5 b,2014,4,0,G,75,5030,0,67,-21,10,0,0.7003314945698784,1.0089323915819433,No
KELT-7 b,2015,2,0,F,441,6494,5,78,33,17,0,2.281937037984554,3.287472020071273,No
HATS-25 b,2016,4,0,G,194,5441,1,207,-23,14,0,1.0311068153026237,1.4854637742354386,No
WASP-72 b,2012,2,0,F7,731,5976,5,41,-30,14,0,2.1943386742243978,3.161273459343285,No
WASP-75 b,2013,2,0,F9,340,5826,2,342,-10,14,0,1.353018258918115,1.9492254145484271,No
Kepler-444 f,2015,9,0,K,0,4772,0,289,41,0,4,0.5845257629351757,0.8420968934170965,No
LSPM J2116+0234 b,2019,14,0,M3.0 V,13,3201,0,319,2,3,1,0.134835316038517,0.1942504641519791,No
Kepler-539 c,2016,1000,2,G2 V,762,5546,0,299,41,13,1,0.8556647820682343,1.2327132531641496,No
NGTS-3 A b,2018,1,0,G6 V,756,5326,0,94,-35,16,0,0.8077996439663409,1.1637563539914184,No
XO-5 b,2008,4,0,G8 V,378,5156,0,116,39,12,1,0.889823062062484,1.2819233706501414,No
HD 110082 b,2021,10,0,F8 V,10,5926,1,192,-88,3,1,1.317660895321788,1.898287837572564,No
HD 73583 c,2022,18,0,K4 V,9,4237,0,129,-13,2,3,0.3974693617408397,0.5726141360642757,No
TOI-421 b,2020,5,0,G9 V,7,5051,0,81,-14,2,2,0.7003314945698784,1.0089323915819433,No
KELT-18 b,2017,2,0,F4 V,375,6396,6,216,59,17,0,2.4311046691185294,3.50237033036224,No
WASP-139 b,2016,5,0,K0,37,5036,0,49,-41,8,0,0.6409197541423804,0.923340882671758,No
WASP-162 b,2018,9,0,K0,1652,5026,1,168,-17,11,6,1.0146205574837759,1.4617128510535211,No
WASP-132 b,2016,7,0,K4,130,4440,0,217,-46,10,0,0.47951661232443665,0.6908154869900575,No
WASP-180 A b,2019,3,0,F7 V,286,6326,2,123,-1,13,0,1.3702621367695007,1.974067802839747,No
WASP-1 b,2007,2,0,F7 V,271,5836,2,5,31,16,0,1.5841768313315236,2.2822439537802897,No
WASP-65 b,2013,2,0,G6,492,5326,1,133,8,12,1,1.0157893552541093,1.4633966792675048,No
WASP-90 b,2016,3,0,F6,200,6156,4,315,7,18,0,1.9692627111355723,2.837017829705655,No
TOI-2525 b,2023,23,0,K8 V,26,4822,0,86,-60,8,0,0.5745180231132094,0.827679245558624,No
4 UMa b,2006,269,0,K1 III,2256,4141,115,130,64,12,6,10.24008725913235,14.752379135411447,No
Qatar-5 b,2017,2,0,G2 V,1373,5473,1,7,42,12,3,1.0169594994275073,1.465082447176725,No
HD 106315 c,2017,21,0,F5 V,15,6053,2,183,0,4,1,1.5024625559683285,2.1645223035220664,No
HATS-71 b,2020,3,0,M3 V,117,3131,0,15,-61,11,0,0.15823540298435015,0.22796179352748408,No
HD 11977 b,2005,711,1,G8 III/IV,2080,4696,69,28,-67,12,5,7.921431251761617,11.41200794132548,No
HD 136352 c,2019,27,0,G4 V,11,5390,1,230,-48,2,2,0.9711887822373403,1.3991428749639145,No
HD 136352 d,2019,107,0,G4 V,8,5390,1,230,-48,2,2,0.9711887822373403,1.3991428749639145,No
Wendelstein-1 b,2020,2,0,K7 V,188,3977,0,299,17,11,0,0.3238199917772909,0.46651118974245737,No
KPS-1 b,2018,1,0,K1 V,346,4891,0,165,64,11,1,0.6350437665170893,0.9148756425766627,No
NGTS-9 b,2019,4,0,F8 V,921,6056,2,141,-19,11,2,1.4921196764836822,2.1496218367928113,No
Ross 128 b,2017,9,0,M4,1,2918,0,176,0,1,5,0.05738569654037959,0.08267268929357537,No
KELT-10 b,2016,4,0,G0 V,215,5674,1,284,-47,15,0,1.2240626809282975,1.7634455935380833,No
K2-261 b,2018,11,0,G7 IV/V,59,5171,2,163,0,9,0,1.390924821830527,2.0038354948781145,No
HD 20794 c,2011,40,0,G8 V,2,5127,0,49,-43,1,5,0.7903212465448535,1.1385761051403918,No
WASP-73 b,2014,4,0,F9,908,5756,6,319,-58,15,1,2.381242676881928,3.4305366637823713,No
KELT-21 b,2018,3,0,A8 V,1242,7324,8,304,32,17,1,2.7027361930014844,3.893696216953411,No
KELT-16 b,2017,0,0,F7 V,874,5962,2,314,31,15,1,1.512877128868536,2.179526055352426,No
WASP-94 A b,2014,3,0,F8,158,5896,3,313,-34,17,0,1.715156120457282,2.470939233729846,No
KELT-23 A b,2019,2,0,G2 V,298,5625,1,232,66,14,0,0.9915249739200805,1.428440204398938,No
WASP-135 b,2015,1,0,G5 V,603,5401,0,267,29,14,1,0.6550940538048996,0.9437610839170094,No
WASP-177 b,2019,3,0,K2,161,4743,0,334,-1,17,0,0.5933400411856573,0.8547951811626575,No
WASP-58 b,2012,5,0,G2 V,308,5526,1,274,45,16,0,1.1463141607882066,1.651437207544996,No
HD 20794 b,2011,18,0,G8 V,2,5127,0,49,-43,1,4,0.7903212465448535,1.1385761051403918,No
Kepler-412 b,2014,1,0,G3 V,299,5476,1,286,43,15,0,1.2995819100743335,1.8722423520210512,No
K2-105 b,2017,8,0,K1,30,5362,0,125,13,3,3,0.7670146470976602,1.1049994585062988,No
TOI-122 b,2020,5,0,M3 V,7,3129,0,332,-58,2,2,0.11279858649068492,0.16250325526914303,No
TOI-125 c,2019,9,0,K0 V,6,5046,0,23,-66,2,1,0.6867578896717009,0.9893775810979203,No
WASP-160 B b,2018,3,0,K0 V,88,5024,0,87,-27,12,0,0.6611555644542698,0.9524935977101017,No
GJ 3929 b,2022,2,0,M3.5 V,1,3110,0,239,35,1,7,0.0994955500756159,0.14333823920228667,No
TOI-2109 b,2021,0,0,F,1595,6266,4,253,16,15,2,2.069205658738183,2.9810006120427266,No
TOI-2257 b,2021,35,0,M3,5,3156,0,194,77,2,2,0.11112292319716585,0.16008921136661283,Yes
GJ 229 A c,2020,121,0,M1.5V,8,3639,0,92,-21,2,1,0.2335090179795495,0.3364047080457988,No
WASP-148 b,2020,8,0,G,91,5281,0,254,44,8,0,0.8124631222037402,1.170474792741684,No
Wendelstein-2 b,2020,1,0,K6 V,232,4317,0,297,16,12,0,0.36500907099013696,0.5258502263551088,No
EPIC 249893012 d,2020,35,0,G8 IV/V,10,5156,2,228,-16,3,0,1.4364934743021165,2.0694839626049073,No
GJ 15 A c,2018,7600,5,M1,36,3333,0,4,44,6,0,0.14184161171742482,0.20434408226034673,No
Kepler-41 b,2011,1,0,G2 V,177,5476,1,294,45,14,0,1.2891506069511403,1.8572144977991538,No
HAT-P-49 b,2014,2,0,F,699,6546,6,305,26,17,0,2.433905193605989,3.5064049052610193,No
Kepler-425 b,2014,3,0,K1 V,79,4896,0,290,40,10,0,0.657360580408711,0.9470263548989635,No
TOI-2096 b,2023,3,0,M4,2,3026,0,151,74,1,5,0.0733337101063273,0.10564819102787217,No
TOI-1695 b,2022,3,0,M1 V,6,3416,0,21,72,1,5,0.20058740383787957,0.2889761929094161,No
HAT-P-5 b,2007,2,0,G,311,5686,1,274,36,13,0,1.1825068288494094,1.7035781656881785,No
HAT-P-52 b,2015,2,0,K1,259,4857,0,42,29,11,0,0.6711253715722504,0.9668565978281138,No
GJ 1265 b,2018,3,0,M4.5 V,7,2962,0,333,-17,2,2,0.057517984233171254,0.08286326952493726,No
TOI-1268 b,2022,8,0,K1-K2,96,5026,0,198,62,9,0,0.6843900035012974,0.985966286481838,No
TOI-561 e,2020,77,0,G9 V,12,5098,0,148,6,2,4,0.696311643582632,1.0031411942677964,No
CoRoT-27 b,2014,3,0,G2,3302,5626,0,278,5,11,12,0.7875962822189768,1.1346503859694002,No
ome Ser b,2013,277,1,G8 III,540,4496,70,237,2,13,1,8.022387903316897,11.557451116007108,No
MASCARA-4 b,2020,2,0,A7 V,985,7526,12,147,-66,17,1,3.3327570625328313,4.8013356242503695,No
NGTS-11 b,2020,35,0,K,109,4776,0,23,-14,9,0,0.6050672647246143,0.8716900028057177,No
tau Gem b,2013,305,1,K2 III,6547,4114,330,107,30,12,20,17.330203299358736,24.966753026239427,No
GJ 273 b,2017,18,0,M3.5,2,3108,0,111,5,1,4,0.08939302987018437,0.1287840460082036,Yes
GJ 163 c,2013,25,0,M,6,3226,0,62,-53,2,2,0.13344541524553946,0.19224810392401057,No
HD 153557 c,2022,15,0,K0,17,4563,0,254,47,4,1,0.49923342799717196,0.7192205125319843,No
HD 142 c,2012,10159,9,F7V,3464,5971,2,1,-49,12,9,1.6455218651151344,2.37062066127791,No
HIP 67851 b,2015,88,0,K0 III,498,4616,16,208,-35,13,1,3.826517090916384,5.512670885005059,No
HIP 90988 b,2021,455,1,K1 III,668,4609,7,278,-50,13,1,2.6564623033936963,3.8270317495236577,No
HD 169830 b,2000,225,0,F8 V,804,6026,4,276,-29,13,1,2.043166021013975,2.943486614501965,No
HD 125612 c,2009,4,0,G3 V,15,5626,1,215,-17,4,1,1.0216535711984864,1.4718449604934507,No
omi CrB b,2012,187,0,K0,476,4475,51,230,29,13,1,6.820302816126594,9.825667537362285,No
tau Boo b,1996,3,0,F7 V,1891,6193,3,206,17,12,4,1.7053112511667237,2.4567562252614987,No
TOI-1759 b,2022,18,0,M0.0 V,10,3791,0,326,62,3,1,0.28236031480485013,0.4067823165354768,No
HD 332231 b,2020,18,0,F8,77,5815,2,306,33,9,0,1.3545768757947194,1.9514708355598556,No
K2-30 b,2016,4,0,G6 V,184,5151,0,52,22,11,0,0.7100740761343852,1.0229680392634701,No
TOI-1062 c,2021,7,0,G9 V,9,5054,0,38,-78,3,1,0.6955104464719642,1.0019869498517415,No
TIC 237913194 b,2020,15,0,G3,617,5514,1,22,-60,12,1,1.0430464695074901,1.502664634063934,No
WASP-38 b,2010,6,0,F8 V,1093,5906,2,243,10,13,2,1.6062149263072871,2.3139931297665317,No
eps Eri b,2000,2671,3,K2 V,209,4747,0,53,-9,14,0,0.5885775019591906,0.8479340302233969,No
WASP-71 b,2012,2,0,F8,441,5776,5,29,0,13,0,2.3083606235398646,3.325539151958384,No
GJ 667 C f,2013,39,0,M1.5 V,2,3076,0,259,-34,1,4,0.11163584330576617,0.16082814959211478,Yes
GJ 3138 c,2017,5,0,M0,4,3443,0,32,-16,1,3,0.20221047875313394,0.2913144753780205,No
GJ 4276 b,2019,13,0,M4.0,16,3113,0,336,59,4,1,0.13375303869808458,0.1926912815735802,No
GJ 414 A b,2021,50,0,K7 V,7,3846,0,167,30,2,2,0.32908164336907125,0.47409138678532536,No
GJ 667 C b,2011,7,0,M1.5 V,5,3076,0,259,-34,2,2,0.11163584330576617,0.16082814959211478,No
GJ 667 C c,2011,28,0,M1.5 V,3,3076,0,259,-34,1,3,0.11163584330576617,0.16082814959211478,Yes
GJ 667 C e,2013,62,0,M1.5 V,2,3076,0,259,-34,1,4,0.11163584330576617,0.16082814959211478,No
CoRoT-24 b,2014,5,0,K1 V,5,4676,0,101,-3,3,0,0.4773134336177962,0.6876414781402366,No
WASP-105 b,2017,7,0,K2,572,4796,0,24,-50,10,2,0.9274780866638467,1.3361710723752553,No
KELT-19 A b,2017,4,0,A8 V,1293,7226,9,111,7,21,0,2.9397043661755595,4.235084356060538,No
K2-237 b,2018,2,0,F9 V,433,6086,2,253,-28,16,0,1.4615162801470345,2.1055330615544112,No
GJ 581 e,2009,3,0,M3 V,1,3122,0,229,-7,1,5,0.10884379042096394,0.1568057793055737,No
NGTS-14 A b,2021,3,0,K1 V,29,4913,0,328,-38,4,1,0.6665053770108641,0.9602008038247644,No
HD 219134 g,2015,94,0,K3 V,10,4639,0,348,57,3,1,0.5306444880106197,0.7644728482433117,No
TOI-163 b,2019,4,0,F,387,6221,4,79,-71,16,0,1.98291298813137,2.8566830978278386,No
WASP-190 b,2019,5,0,F6 IV-V,317,6126,4,7,-40,12,0,2.11253375691717,3.043421225791179,No
TOI-178 c,2021,3,0,K,4,4042,0,7,-30,1,5,0.34658012771371105,0.49930057385714144,No
TOI-178 e,2021,9,0,K,3,4042,0,7,-30,2,1,0.34658012771371105,0.49930057385714144,No
CoRoT-18 b,2011,1,0,G9 V,1102,5166,0,98,0,14,2,0.7839776060066915,1.1294371409939419,No
WASP-144 b,2018,2,0,K2 V,139,4926,0,320,-40,9,0,0.8218710017651528,1.1840282520666006,No
WASP-172 b,2018,5,0,F1 V,149,6626,8,199,-47,17,0,2.7944970624187877,4.025891490409874,No
Qatar-8 b,2019,3,0,G0 V,117,5464,1,157,70,14,0,1.23966305232997,1.7859202646758179,No
WASP-178 b,2019,3,0,A1 IV-V,527,9086,16,227,-42,20,0,3.8619234176291193,5.563679000682266,No
HD 136352 b,2019,11,0,G4 V,4,5390,1,230,-48,1,5,0.9711887822373403,1.3991428749639145,No
WASP-22 b,2010,3,0,G1 V,212,5726,1,52,-23,13,0,1.2641646950955734,1.821218550166133,No
WASP-2 b,2007,2,0,K1,295,4906,0,307,6,12,0,0.6649724571818141,0.9579924032584344,No
TOI-150.01,2019,5,0,F,797,5981,3,112,-73,14,1,1.6896768636410435,2.4342325488032652,No
WASP-184 b,2019,5,0,G0 V,181,5726,3,209,-30,14,0,1.697476057681867,2.4454684557373843,No
Kepler-427 b,2014,10,0,G2 V,92,5526,1,288,43,13,0,1.3313849930730182,1.918059455547502,No
HAT-P-65 b,2016,2,0,G2,167,5561,3,315,11,21,0,1.8063572953850953,2.6023281834607372,No
NGTS-2 b,2018,4,0,F5 V,235,6204,4,215,-31,17,0,1.9715312142217742,2.840285948106468,No
WASP-89 b,2015,3,0,K3,1875,4856,0,313,-18,11,7,0.6423972267645075,0.9254694032333743,No
GJ 3090 b,2022,2,0,M2 V,3,3282,0,20,-46,2,1,0.2033778525865874,0.2929962521976961,No
HATS-27 b,2016,4,0,F,168,6164,4,193,-46,16,0,2.0596985223224222,2.9673041583555477,No
WASP-114 b,2016,1,0,G0,562,5666,2,327,10,15,0,1.3989547184576363,2.0154037634351654,No
WASP-88 b,2014,4,0,F6,133,6156,5,309,-48,16,0,2.1943386742243978,3.161273459343285,No
WASP-99 b,2014,5,0,F8,772,5876,3,39,-50,11,2,1.7815731441585962,2.5666229022272584,No
TOI-700 b,2020,9,0,M2.5 V,0,3185,0,97,-65,0,5,0.14431240269157783,0.20790362665607937,No
TOI-763 b,2020,5,0,G,9,5176,0,194,-39,2,4,0.7985528379056996,1.1504349451648925,No
K2-19 d,2016,2,0,G9 V,10,5048,0,174,0,1,51,0.6711253715722504,0.9668565978281138,No
HAT-P-27 b,2011,3,0,G8,197,5042,0,222,5,11,0,0.699525672097814,1.0077714836401552,No
HATS-17 b,2016,16,0,G V,425,5572,1,192,-47,8,3,1.0612156779032282,1.5288400995713385,No
HD 219134 b,2015,3,0,K3 V,4,4425,0,348,57,1,6,0.4906859890738031,0.7069066467959423,No
TOI-1710 b,2022,24,0,G5 V,28,5391,0,94,76,5,0,0.9001267275090392,1.2967673436852798,No
WASP-83 b,2015,4,0,G8,95,5236,0,190,-19,11,0,0.9001267275090392,1.2967673436852798,No
CoRoT-19 b,2011,3,0,F9 V,352,5816,3,97,0,14,0,1.7836254372086628,2.5695795376938704,No
CoRoT-11 b,2010,2,0,F6 V,740,6166,2,280,5,16,0,1.4733422989655425,2.122570212592119,No
HD 219134 c,2015,6,0,K3 V,4,4425,0,348,57,1,6,0.4906859890738031,0.7069066467959423,No
HD 219134 h,2015,2247,3,K3 V,108,4639,0,348,57,12,0,0.5306444880106197,0.7644728482433117,No
HAT-P-36 b,2011,1,0,G5 V,587,5346,1,188,44,14,1,0.9779207412683963,1.4088412700495254,No
91 Aqr b,2013,181,0,K0 III,1017,4391,49,348,-9,13,2,6.688113850715453,9.63522953757632,No
CoRoT-9 b,2009,95,0,G3 V,266,5351,0,280,6,11,0,0.7117109659328196,1.0253262241400547,No
YZ Cet c,2017,3,0,M4.5 V,1,2877,0,18,-16,1,5,0.044648169415293745,0.06432237404315871,No
HAT-P-43 b,2012,3,0,F9,210,5419,1,128,10,13,0,1.0216535711984864,1.4718449604934507,No
WASP-104 b,2014,1,0,G8,404,5201,0,160,7,12,1,0.7661320969855687,1.103728012909196,No
HAT-P-15 b,2010,10,0,G5,616,5294,1,66,39,11,1,0.9534625892455924,1.37360563948689,No
WASP-93 b,2016,2,0,F4,467,6426,4,9,51,17,0,1.9422434138115152,2.7980924858086667,No
WASP-129 b,2016,5,0,G1,317,5626,1,176,-42,10,1,1.0846850575376439,1.562651255441229,No
HATS-28 b,2016,3,0,G,213,5224,0,284,-49,13,0,0.7957994917124475,1.1464683376638019,No
HD 20794 d,2011,90,0,G8 V,4,5127,0,49,-43,2,3,0.7903212465448535,1.1385761051403918,No
KELT-17 b,2016,3,0,A,416,7180,7,125,13,17,0,2.6139884085751994,3.7658417436317406,No
WASP-118 b,2016,4,0,F6,163,6136,4,19,2,16,0,2.0361213483021543,2.9333377085307797,No
LP 791-18 c,2019,4,0,M(6.1 +/- 0.7) V,7,2686,0,165,-16,2,2,0.0457407896084855,0.06589645704978507,No
TOI-125 d,2020,19,0,K0 V,13,5046,0,23,-66,2,2,0.6867578896717009,0.9893775810979203,No
KELT-6 b,2014,7,0,F8,165,5828,3,195,30,14,0,1.681913503641832,2.4230482661721853,No
WASP-94 B b,2014,2,0,F9,196,5766,2,313,-34,14,0,1.428248107992562,2.057605277704013,No
TOI-178 g,2021,20,0,K,3,4042,0,7,-30,2,0,0.34658012771371105,0.49930057385714144,No
47 UMa b,1996,1078,2,G0 V,804,5598,1,164,40,13,1,1.1975775813545628,1.725289841495794,No
6 Lyn b,2008,934,2,K0 IV,638,4664,14,97,58,13,1,3.692356768321153,5.31939284998745,No
BD+20 594 b,2016,41,0,G,22,5492,0,53,20,2,7,0.8939302987018437,1.287840460082036,No
BD+48 738 b,2011,392,1,K0 III,289,4140,48,40,49,13,0,6.672731615711311,9.613069124584845,No
BD+49 828 b,2015,2590,4,K0,508,4669,29,45,49,13,1,5.179688676733017,7.462117189911288,No
CoRoT-16 b,2011,5,0,G5 V,170,5376,0,278,-6,13,0,0.5778347518562762,0.8324574899884651,No
BD-06 1339 c,2013,125,0,K7/M0 V,53,4050,0,88,-5,8,0,0.29397043661755595,0.42350843560605383,No
TOI-813 b,2020,83,0,G0 IV,36,5633,4,72,-60,6,0,1.9444807918685272,2.8013157639440025,No
HD 15337 c,2019,17,0,K1 V,8,4851,0,36,-27,2,3,0.6550940538048996,0.9437610839170094,No
HD 108236 e,2020,19,0,G3 V,9,5386,0,186,-51,3,1,0.8022387903316897,1.1557451116007107,No
HD 213885 b,2019,1,0,G,8,5704,1,338,-59,1,9,1.1189319050261306,1.6119889676655266,No
HR 858 d,2019,11,0,F6 V,5,5927,2,42,-30,2,2,1.4615162801470345,2.1055330615544112,No
TOI-5153 b,2022,20,0,F8 V,1036,6026,2,91,-19,11,3,1.626685732085224,2.343484390963957,No
TOI-558 b,2021,14,0,F V,1147,6192,3,42,-58,12,3,1.7897965121576536,2.578469895267665,No
TOI-2136 b,2022,7,0,M4.5 V,6,3068,0,281,36,2,3,0.10871855148348086,0.156625353861775,No
TOI-270 c,2019,5,0,M,6,3232,0,68,-51,2,2,0.132832289256134,0.19136480412151946,No
TOI-1130 c,2020,8,0,K7,309,3976,0,286,-41,16,0,0.35670045015806373,0.5138804138422506,No
HD 178911 B b,2001,71,0,G5,2552,5314,0,287,34,12,7,0.9074102013664042,1.3072602784667562,No
HD 206893 c,2022,2090,3,F5 V,4036,6226,2,326,-12,16,5,1.611772187651318,2.3219991969246605,No
GJ 1061 b,2020,3,0,M5.5 V,1,2679,0,54,-44,1,5,0.039291956758022537,0.05660594762506492,No
GJ 1061 c,2020,6,0,M5.5 V,1,2679,0,54,-44,1,5,0.039291956758022537,0.05660594762506492,No
HD 260655 c,2022,5,0,M0 V,3,3529,0,99,17,1,4,0.18167855098550031,0.2617351588015055,No
HD 181720 b,2009,956,1,G1 V,127,5462,1,290,-32,14,0,1.32832289256134,1.9136480412151944,Yes
HD 192699 b,2007,340,1,G8 IV,666,4767,10,304,4,13,1,3.046517361464756,4.388964470870093,No
HD 20782 b,2006,597,1,G1.5 V,472,5508,1,50,-28,13,1,1.0784590455230447,1.5536817527976767,Yes
HD 219415 b,2012,2093,3,K0 III,317,4546,4,348,56,13,0,1.9467207472855832,2.8045427551524376,No
HD 34445 d,2017,117,0,G0 V,30,5562,2,79,7,6,0,1.3514614354329464,1.9469825771859195,No
HD 3651 b,2003,62,0,K0 V,72,4947,0,9,21,10,0,0.6955104464719642,1.0019869498517415,No
HD 37124 b,2002,154,0,G4 V,214,5425,0,84,20,14,0,0.8381150849027522,1.2074302863548625,No
HD 37124 c,2002,885,1,G4 V,207,5425,0,84,20,14,0,0.8381150849027522,1.2074302863548625,No
HD 37124 d,2005,1862,2,G4 V,221,5425,0,84,20,14,0,0.8381150849027522,1.2074302863548625,No
HD 216770 b,2003,118,0,G9 V CN+1,181,5125,0,343,-26,14,0,0.8497744271405642,1.2242273148184943,No
HD 38801 b,2009,685,1,K0,3082,5064,4,86,-8,12,8,2.0361213483021543,2.9333377085307797,No
HD 32518 b,2009,157,0,K1 III,966,4306,46,77,69,13,2,6.49088115419196,9.351086302915968,No
HD 81817 b,2020,1021,3,K3 III,7668,3866,1823,144,81,12,24,40.71961446414691,58.662702340465955,No
HD 204313 c,2015,34,0,G5 V,17,5502,1,322,-21,4,1,1.0698026206200875,1.5412108764375405,No
HD 4203 c,2014,6700,6,G5,689,5308,1,11,20,13,1,1.335991384306748,1.924695651920283,No
HD 43691 b,2007,36,0,G0,810,5819,3,94,41,13,1,1.6955228906978357,2.4426546262128843,No
HD 47186 c,2008,1353,2,G6 V,111,5383,1,99,-27,13,0,1.001852202809682,1.443318124102376,No
HD 4732 b,2012,360,1,K0 IV,753,4685,15,12,-24,13,1,3.7523527394186376,5.40582603066547,No
HD 42012 b,2017,857,1,K0,508,5131,0,92,34,13,1,0.6987207768293118,1.006611911473946,No
HD 13908 c,2013,931,2,F8 V,1630,5981,3,34,65,12,4,1.9067934763535672,2.7470215423223334,Yes
HD 50499 c,2019,8619,9,G1 V,931,5825,2,103,-33,13,2,1.4699537057103893,2.1176884365710076,No
HD 65216 b,2003,577,1,G5 V,411,5338,0,118,-63,13,0,0.8022387903316897,1.1557451116007107,No
HD 51608 c,2019,95,0,G7 V,14,5084,0,103,-55,3,1,0.7199521905091069,1.037198942253959,No
HD 52265 b,2000,119,0,G0V,384,5862,1,105,-5,13,0,1.3421580403504505,1.9335796433992858,No
HD 5319 b,2007,637,1,G5,494,4597,1,13,0,13,1,1.1331924110962535,1.6325333621502192,Yes
HD 8326 b,2019,158,0,K2 V,66,4640,0,20,-26,9,0,0.5411325489852014,0.7795824706495421,No
HD 59686 A b,2016,299,1,K2 III,2199,4384,66,112,17,12,5,7.767900561119862,11.190823990451545,No
HD 63454 b,2005,2,0,K4 V,79,4538,0,114,-78,12,0,0.4822848919377657,0.6948036083190277,No
HD 75784 c,2018,7900,8,G5,1792,4593,5,133,13,12,4,2.3136819443467727,3.3332053114410245,No
HD 50499 b,2005,2447,3,G1 V,519,5828,2,103,-33,13,1,1.4699537057103893,2.1176884365710076,No
HD 51608 b,2019,14,0,G7 V,12,5084,0,103,-55,3,1,0.7199521905091069,1.037198942253959,No
HD 564 b,2014,492,1,G2/G3 V,104,5628,1,2,-50,12,0,0.974548948917955,1.4039836982475635,Yes
HD 109271 c,2013,30,0,G5 V,24,5509,1,188,-11,5,0,1.3483531603851702,1.942504641519791,No
HD 114386 b,2003,937,1,K3V,362,4562,0,197,-35,13,0,0.5120397270743928,0.7376699040779544,No
HD 114783 b,2001,493,1,K0,349,4861,0,198,-2,13,0,0.6213032958271982,0.8950804369317591,No
HD 115404 A c,2022,15319,11,K2V,3279,4746,0,199,17,12,9,0.5239666644845761,0.7548524434593868,No
BD+63 1405 b,2021,1198,2,K0,3305,4726,0,271,63,12,9,0.5926573262963938,0.8538116281290812,No
HD 12648 b,2015,133,0,G5,622,4561,56,34,85,13,1,7.174698530494334,10.33622763416764,No
HD 210193 b,2019,649,1,G3 V,153,5516,1,332,-41,14,0,1.0169594994275073,1.465082447176725,No
HD 10180 h,2010,2205,3,G1 V,64,5637,1,24,-60,9,0,1.1635998522261988,1.6763398345693485,No
HD 102195 b,2006,4,0,K0 V,130,5027,0,176,2,14,0,0.6490881154191961,0.9351086302915969,No
HD 102329 b,2011,778,1,K0 III,2593,4471,19,176,3,12,7,4.219914554828623,6.079418842486276,No
HD 102843 b,2019,3090,4,K0 V,113,5162,0,177,-1,13,0,0.8133990435969207,1.17182312766147,No
HD 141399 b,2014,94,0,K0,143,5326,1,236,46,14,0,1.2017210191288836,1.7312590840836688,No
HD 217107 b,1998,7,0,G8 IV,413,5348,1,344,-2,13,0,1.067342142870196,1.5376661897857475,No
HD 217107 c,2005,4270,5,G8 IV,826,5301,1,344,-2,13,1,1.067342142870196,1.5376661897857475,No
HD 183263 b,2004,624,1,G2 IV,1103,5674,1,292,8,13,2,1.2714627975249333,1.8317325595961764,Yes
HD 11506 d,2022,14723,12,G0 V,2346,5909,2,28,-19,12,6,1.405412000047008,2.0247064445334706,No
HD 139357 b,2008,1124,2,K4 III,6315,4426,66,233,53,12,19,7.776848837191188,11.203715322124015,No
HD 143361 b,2008,1039,1,G6 V,1382,5233,0,240,-44,12,3,0.8576372931057756,1.2355549506944752,No
HD 145675 c,2021,15732,11,K0V,1597,5041,0,242,43,12,4,0.8013157102614322,1.1544152765295659,No
HD 150706 b,2012,5894,6,G0 V,772,5687,1,247,79,13,1,0.9892445297617198,1.4251548830955214,No
HD 103197 b,2009,47,0,K1 V(P),28,4976,0,178,-50,5,0,0.6535873792909236,0.9415904936572423,No
HD 103720 b,2014,4,0,K3 V,197,4743,0,179,-2,14,0,0.5627346500761921,0.8107035321552996,No
HD 103774 b,2013,5,0,F5 V,116,6215,3,179,-12,13,0,1.7836254372086628,2.5695795376938704,No
HD 108863 b,2011,437,1,K0,767,4604,16,187,21,13,1,3.9066423831987866,5.628103367187425,No
HD 147513 b,2003,528,1,G3/5V,385,5609,0,246,-39,13,0,0.9425483932383479,1.3578821057529888,Yes
