Planet Name,Discovery Year,Orbital Period (days),SemiMajor Axis (AU),Spectral_Type,Mass (Earth Mass),Temperature,Stellar_Luminosity,Right Ascension (RA),Declination (Dec),radius,density,Ri (AU),Ro (AU),Habitable Zone
HD 16141 b,2000,75,0,G5 IV,82,5483,2,38,-3,10,0,1.4531272847824404,2.093447457491484,No
HD 103949 b,2019,120,0,K3 V,11,4518,0,179,-23,3,1,0.4952262506301282,0.7134475734655962,No
HD 104067 b,2009,55,0,K2 V,50,4663,0,179,-20,8,0,0.5282063980534982,0.7609604145595442,No
HD 147873 b,2016,116,0,G1 V,1633,5698,5,246,-33,12,4,2.332403354833651,3.360176306752201,No
HD 148427 b,2009,331,1,K0 III/IV,413,4751,6,247,-13,13,0,2.340473118593289,3.371802009883707,No
HD 152079 b,2009,2918,4,G6 V,845,5633,1,253,-46,13,2,1.0784590455230447,1.5536817527976767,No
HD 154672 b,2008,163,0,G3 IV,1706,5469,1,257,-56,12,4,1.2817509778037397,1.8465542239282902,No
HD 154857 b,2004,408,1,G5 V,778,5315,4,257,-56,13,1,2.0455196574272803,2.946877380209066,No
HAT-P-54 b,2015,3,0,K7,241,4116,0,99,25,10,1,0.3375232214154667,0.48625274407557006,No
HIP 67537 b,2017,2523,4,K1 III,4309,4711,41,207,-39,12,12,6.134845888408359,8.838164186775552,No
HD 10697 b,1999,1075,2,G3 V,1825,5367,2,26,20,12,4,1.6512151225379037,2.3788226511526824,Yes
HIP 56640 b,2021,2675,4,K1 III,2151,4495,11,174,-37,12,5,3.193770149272093,4.601104162603949,Yes
HD 108147 b,2002,10,0,F8 V CH+0.4,82,5982,2,186,-64,10,0,1.3514614354329464,1.9469825771859195,No
HD 153950 b,2008,499,1,F8 V,937,5850,2,256,-43,13,2,1.420050069475855,2.0457947755759855,No
HD 108874 b,2002,394,1,G5,451,5326,0,187,22,13,0,0.9523655065259886,1.3720251275427104,Yes
HD 2952 b,2013,311,1,K0 III,435,4570,70,8,54,13,0,8.022387903316897,11.557451116007108,No
HD 163607 c,2010,1272,2,G5,699,5248,2,268,56,13,1,1.5463352546924913,2.2277274959090088,No
